arc_length,rho
0.0030751,0.024622
0.003081,0.024228
0.0030868,0.023879
0.0030927,0.023528
0.0030985,0.023241
0.0031044,0.022972
0.0031102,0.022702
0.0031161,0.022493
0.003122,0.022286
0.0031278,0.022085
0.0031337,0.021927
0.0031395,0.021767
0.0031454,0.021619
0.0031512,0.021496
0.0031571,0.021372
0.003163,0.021262
0.0031688,0.021169
0.0031747,0.021074
0.0031805,0.020995
0.0031864,0.020922
0.0031922,0.020849
0.0031981,0.020831
0.003204,0.020822
0.0032098,0.020813
0.0032157,0.020803
0.0032215,0.020794
0.0032274,0.020785
0.0032332,0.020775
0.0032391,0.020766
0.003245,0.020756
0.0032508,0.020746
0.0032567,0.020737
0.0032625,0.020727
0.0032684,0.020717
0.0032742,0.020707
0.0032801,0.020701
0.003286,0.020696
0.0032918,0.020691
0.0032977,0.020687
0.0033035,0.020682
0.0033094,0.020677
0.0033152,0.020672
0.0033211,0.020667
0.003327,0.020664
0.0033328,0.020668
0.0033387,0.020671
0.0033445,0.020674
0.0033504,0.020677
0.0033563,0.02068
0.0033621,0.020683
0.003368,0.020687
0.0033738,0.02069
0.0033797,0.020694
0.0033855,0.020699
0.0033914,0.020705
0.0033973,0.02071
0.0034031,0.020715
0.003409,0.02072
0.0034148,0.020725
0.0034207,0.02073
0.0034265,0.020735
0.0034324,0.02074
0.0034383,0.020745
0.0034441,0.02075
0.00345,0.020755
0.0034558,0.02076
0.0034617,0.020765
0.0034675,0.020771
0.0034734,0.020776
0.0034793,0.02078
0.0034851,0.020785
0.003491,0.020789
0.0034968,0.020793
0.0035027,0.020798
0.0035085,0.020802
0.0035144,0.020807
0.0035203,0.020811
0.0035261,0.020815
0.003532,0.020819
0.0035378,0.020822
0.0035437,0.020826
0.0035495,0.02083
0.0035554,0.020833
0.0035613,0.020837
0.0035671,0.020841
0.003573,0.020844
0.0035788,0.020848
0.0035847,0.020851
0.0035905,0.020854
0.0035964,0.020857
0.0036023,0.02086
0.0036081,0.020863
0.003614,0.020866
0.0036198,0.020869
0.0036257,0.020872
0.0036315,0.020875
0.0036374,0.020877
0.0036433,0.02088
0.0036491,0.020883
0.003655,0.020885
0.0036608,0.020888
0.0036667,0.02089
0.0036725,0.020893
0.0036784,0.020895
0.0036843,0.020897
0.0036901,0.0209
0.003696,0.020902
0.0037018,0.020904
0.0037077,0.020906
0.0037135,0.020908
0.0037194,0.020911
0.0037253,0.020912
0.0037311,0.020914
0.003737,0.020916
0.0037428,0.020918
0.0037487,0.02092
0.0037545,0.020921
0.0037604,0.020923
0.0037663,0.020925
0.0037721,0.020927
0.003778,0.020928
0.0037838,0.020929
0.0037897,0.020931
0.0037956,0.020932
0.0038014,0.020934
0.0038073,0.020935
0.0038131,0.020936
0.003819,0.020938
0.0038248,0.020939
0.0038307,0.02094
0.0038366,0.020941
0.0038424,0.020942
0.0038483,0.020943
0.0038541,0.020945
0.00386,0.020946
0.0038658,0.020947
0.0038717,0.020948
0.0038776,0.020949
0.0038834,0.02095
0.0038893,0.020951
0.0038951,0.020952
0.003901,0.020953
0.0039068,0.020954
0.0039127,0.020955
0.0039186,0.020956
0.0039244,0.020957
0.0039303,0.020958
0.0039361,0.020959
0.003942,0.02096
0.0039478,0.020961
0.0039537,0.020962
0.0039596,0.020963
0.0039654,0.020964
0.0039713,0.020965
0.0039771,0.020966
0.003983,0.020967
0.0039888,0.020968
0.0039947,0.020969
0.0040006,0.02097
0.0040064,0.020971
0.0040123,0.020972
0.0040181,0.020974
0.004024,0.020975
0.0040298,0.020976
0.0040357,0.020977
0.0040416,0.020978
0.0040474,0.020979
0.0040533,0.02098
0.0040591,0.020982
0.004065,0.020983
0.0040708,0.020984
0.0040767,0.020985
0.0040826,0.020986
0.0040884,0.020988
0.0040943,0.020989
0.0041001,0.02099
0.004106,0.020992
0.0041118,0.020993
0.0041177,0.020994
0.0041236,0.020996
0.0041294,0.020997
0.0041353,0.020998
0.0041411,0.021
0.004147,0.021001
0.0041528,0.021002
0.0041587,0.021004
0.0041646,0.021005
0.0041704,0.021007
0.0041763,0.021008
0.0041821,0.02101
0.004188,0.021011
0.0041938,0.021012
0.0041997,0.021014
0.0042056,0.021016
0.0042114,0.021017
0.0042173,0.021019
0.0042231,0.02102
0.004229,0.021022
0.0042349,0.021023
0.0042407,0.021025
0.0042466,0.021027
0.0042524,0.021028
0.0042583,0.02103
0.0042641,0.021032
0.00427,0.021034
0.0042759,0.021035
0.0042817,0.021037
0.0042876,0.021039
0.0042934,0.021041
0.0042993,0.021042
0.0043051,0.021044
0.004311,0.021046
0.0043169,0.021048
0.0043227,0.02105
0.0043286,0.021052
0.0043344,0.021054
0.0043403,0.021056
0.0043461,0.021058
0.004352,0.02106
0.0043579,0.021062
0.0043637,0.021064
0.0043696,0.021066
0.0043754,0.021068
0.0043813,0.021071
0.0043871,0.021073
0.004393,0.021075
0.0043989,0.021077
