x,p,U:0,U:1,U:2,T,U_0:0,U_0:1,U_0:2,rho,rho_0,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
1.08358,710.34,263.9,1.2196,416.26,116.01,263.92,1.1938,416.25,0.030537,0.030542,1,0.0012183,0.0017103,-1.00E-05,0.0035356
1.08948,701,266.88,1.1402,421.22,112.31,266.9,1.1141,421.22,0.031273,0.031278,1,0.0012242,0.0017045,-1.00E-05,0.0035356
1.09528,691.66,269.85,1.0609,426.19,108.62,269.87,1.0345,426.19,0.03201,0.032014,1,0.00123,0.0016986,-1.00E-05,0.0035356
1.10118,682.31,272.83,0.98177,431.15,104.93,272.85,0.95512,431.15,0.032746,0.03275,1,0.0012359,0.0016928,-1.00E-05,0.0035356
1.10708,672.97,275.81,0.90282,436.12,101.23,275.83,0.87592,436.12,0.033482,0.033485,1,0.0012418,0.0016869,-1.00E-05,0.0035356
1.11288,663.63,278.79,0.82404,441.08,97.537,278.81,0.79689,441.09,0.034219,0.034221,1,0.0012476,0.0016811,-1.00E-05,0.0035356
1.11878,654.28,281.77,0.74544,446.05,93.842,281.79,0.71804,446.05,0.034955,0.034957,1,0.0012535,0.0016752,-1.00E-05,0.0035356
1.12458,644.94,284.74,0.66702,451.01,90.148,284.76,0.63937,451.02,0.035692,0.035693,1,0.0012593,0.0016693,-1.00E-05,0.0035356
1.13048,635.6,287.72,0.58878,455.98,86.454,287.74,0.56088,455.98,0.036428,0.036429,1,0.0012652,0.0016635,-1.00E-05,0.0035356
1.13628,625.08,290.48,0.50319,460.22,83.026,290.49,0.47537,460.23,0.037095,0.037095,1,0.001271,0.0016576,-1.00E-05,0.0035356
1.14218,611.32,292.6,0.39674,462.46,80.339,292.62,0.36995,462.47,0.037568,0.037568,1,0.0012769,0.0016518,-1.00E-05,0.0035356
1.14808,597.56,294.73,0.29035,464.7,77.652,294.75,0.26459,464.71,0.038041,0.03804,1,0.0012828,0.0016459,-1.00E-05,0.0035356
1.15388,583.8,296.86,0.18403,466.94,74.965,296.87,0.15929,466.95,0.038514,0.038512,1,0.0012886,0.0016401,-1.00E-05,0.0035356
