arc_length,rho
0.0025128,0.027557
0.0025187,0.027412
0.0025245,0.027266
0.0025304,0.027121
0.0025362,0.026962
0.0025421,0.026799
0.0025479,0.026636
0.0025538,0.026472
0.0025597,0.026309
0.0025655,0.026145
0.0025714,0.025982
0.0025772,0.025818
0.0025831,0.025676
0.0025889,0.02558
0.0025948,0.025484
0.0026007,0.025388
0.0026065,0.025292
0.0026124,0.025195
0.0026182,0.025099
0.0026241,0.025003
0.0026299,0.024907
0.0026358,0.02481
0.0026417,0.024714
0.0026475,0.024618
0.0026534,0.024521
0.0026592,0.024425
0.0026651,0.024302
0.0026709,0.024011
0.0026768,0.023721
0.0026827,0.023488
0.0026885,0.023314
0.0026944,0.02314
0.0027002,0.022992
0.0027061,0.022848
0.0027119,0.022706
0.0027178,0.02257
0.0027237,0.022434
0.0027295,0.022251
0.0027354,0.022031
0.0027412,0.021811
0.0027471,0.02162
0.0027529,0.021432
0.0027588,0.021252
0.0027647,0.021097
0.0027705,0.020941
0.0027764,0.020728
0.0027822,0.020477
0.0027881,0.020226
0.0027939,0.020012
0.0027998,0.019801
0.0028057,0.019608
0.0028115,0.019461
0.0028174,0.019313
0.0028232,0.019142
0.0028291,0.018956
0.0028349,0.01877
0.0028408,0.018583
0.0028467,0.018397
0.0028525,0.018214
0.0028584,0.018038
0.0028642,0.017862
0.0028701,0.01786
0.002876,0.017951
0.0028818,0.018042
0.0028877,0.01915
0.0028935,0.020267
0.0028994,0.02205
0.0029052,0.025196
0.0029111,0.028342
0.002917,0.032462
0.0029228,0.037074
0.0029287,0.041686
0.0029345,0.045257
0.0029404,0.048872
0.0029462,0.052288
0.0029521,0.054596
0.002958,0.056938
0.0029638,0.058847
0.0029697,0.05991
0.0029755,0.060991
0.0029814,0.061397
0.0029872,0.061199
0.0029931,0.061023
0.002999,0.059701
0.0030048,0.057888
0.0030107,0.056094
0.0030165,0.053332
0.0030224,0.050444
0.0030282,0.04758
0.0030341,0.044931
0.00304,0.042276
0.0030458,0.039732
0.0030517,0.037569
0.0030575,0.035396
0.0030634,0.033472
0.0030692,0.031914
0.0030751,0.030346
0.003081,0.029063
0.0030868,0.027981
0.0030927,0.026892
0.0030985,0.026063
0.0031044,0.02531
0.0031102,0.024553
0.0031161,0.024015
0.003122,0.023486
0.0031278,0.022974
0.0031337,0.022599
0.0031395,0.022222
0.0031454,0.021877
0.0031512,0.021606
0.0031571,0.021334
0.003163,0.021103
0.0031688,0.020915
0.0031747,0.020725
0.0031805,0.02058
0.0031864,0.020455
0.0031922,0.02033
0.0031981,0.020301
0.003204,0.020288
0.0032098,0.020275
0.0032157,0.020262
0.0032215,0.020249
0.0032274,0.020235
0.0032332,0.020222
0.0032391,0.020208
0.003245,0.020195
0.0032508,0.020181
0.0032567,0.020168
0.0032625,0.020154
0.0032684,0.02014
0.0032742,0.020126
0.0032801,0.020121
