"p","U:0","U:1","U:2","T","U_0:0","U_0:1","U_0:2","alphat","epsilon","epsilon_0","k","k_0","nut","rho","rho_0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
694.63,69.766,-0.57381,140.23,208.95,69.745,-0.56702,140.22,5.8197e-006,1.2556e+008,1.2555e+008,710.43,710.42,0.00036345,0.015974,0.015974,1,0.0007966,0.0021321,-1e-005,0.0035356
695.49,70.661,-0.61766,140.83,208.74,70.639,-0.61065,140.82,5.9596e-006,1.3047e+008,1.3045e+008,732.28,732.26,0.00037143,0.01601,0.01601,1,0.00080245,0.0021262,-1e-005,0.0035356
696.34,71.556,-0.66154,141.42,208.52,71.534,-0.65429,141.41,6.0996e-006,1.3537e+008,1.3536e+008,754.14,754.11,0.00037941,0.016046,0.016046,1,0.00080831,0.0021204,-1e-005,0.0035356
697.2,72.494,-0.70802,142.07,208.28,72.471,-0.70062,142.06,6.2441e-006,1.4056e+008,1.4054e+008,776.83,776.8,0.00038757,0.016084,0.016084,1,0.00081417,0.0021145,-1e-005,0.0035356
698.09,73.705,-0.77103,143.1,207.92,73.682,-0.76394,143.09,6.4175e-006,1.4749e+008,1.4747e+008,804.85,804.82,0.00039684,0.016134,0.016134,1,0.00082003,0.0021086,-1e-005,0.0035356
698.98,74.915,-0.83408,144.13,207.55,74.892,-0.8273,144.12,6.591e-006,1.5442e+008,1.544e+008,832.87,832.83,0.00040611,0.016184,0.016184,1,0.00082588,0.0021028,-1e-005,0.0035356
699.87,76.126,-0.89714,145.16,207.19,76.102,-0.89067,145.15,6.7645e-006,1.6135e+008,1.6133e+008,860.9,860.85,0.00041538,0.016234,0.016233,1,0.00083174,0.0020969,-1e-005,0.0035356
700.76,77.337,-0.96023,146.2,206.82,77.313,-0.95407,146.18,6.9379e-006,1.6828e+008,1.6826e+008,888.92,888.86,0.00042465,0.016284,0.016283,1,0.0008376,0.0020911,-1e-005,0.0035356
701.65,78.548,-1.0233,147.23,206.46,78.523,-1.0175,147.21,7.1114e-006,1.7521e+008,1.7519e+008,916.94,916.88,0.00043392,0.016333,0.016333,1,0.00084346,0.0020852,-1e-005,0.0035356
702.54,79.759,-1.0865,148.26,206.09,79.734,-1.0809,148.24,7.2849e-006,1.8214e+008,1.8212e+008,944.96,944.89,0.00044319,0.016383,0.016383,1,0.00084931,0.0020794,-1e-005,0.0035356
703.43,80.97,-1.1496,149.29,205.73,80.945,-1.1444,149.27,7.4583e-006,1.8907e+008,1.8905e+008,972.99,972.91,0.00045246,0.016433,0.016432,1,0.00085517,0.0020735,-1e-005,0.0035356
